Estatus	Programa	Región	Área	Coordinación	Estado	Municipio	Localidad	Nombre	Sedes	Direcciones	Horarios	Rama Artística (DT)	Año de creación	Atención a las causas	Número promotores	Cantidad de participantes	Niñas	Niños	Mujeres Jóvenes	Hombres Jóvenes	Mujeres adultas	Hombres adultos	Personas con Discapacidad	Personas Indígenas	Personas Afromexicanas	lat	lon	Consecutivo	Municipio Concatenado	Cantidad de público participante	Número de sesiones	Proyecto PAICE	Presupuesto PAICE
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Chihuahua	Juárez	Juárez	Semillero Creativo de Teatro y Circo en Juárez, Chihuahua	"Sede 1. Centro Comunitario Fovissste Chamizalla
Sede 2. Espacio de paz Riveras del Bravo"	"Sede 1: Calle Río Eufrates s/n, Colonia Chamizal I y II, Juárez, Chihuahua. C.P 32310
Sede 2: Riveras de San Blás 402, Riveras del Bravo etapa 7 , Juárez, Chihuahua."	 Lunes y miércoles 15 a 18 h.	Artes Escénicas	2022	Sí		30										31.7331032	-106.4574854	331	ChihuahuaJuárez				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Durango	Durango	Victoria de Durango	Semillero Creativo de Cinematografía en Durango, Durango	"Sede 1: Casa de la Cultura Durango
Sede 2: DIF No. 1 Luis Echeverría"	"Sede 1. Calle Negrete, # 900,Poniente, Zona Centro, Durango, Durango, C.P. 34000
Sede 2. Calle Adolfo López Mateos S/N,Colonia Luis Echeverría, Durango, Durango,  C.P. 34250"	"Sede 1: Jueves y viernes 16 a 20 h.
Sede 2: Lunes a miércoles 16 a 19:30 h."	Artes Audiovisuales	2019	No		35										24.0255333	-104.6723316	332	DurangoDurango				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Durango	Gómez Palacio	Gómez Palacio	Semillero Creativo de Circo en Gómez Palacio, Durango	Placita Mayagoitia	Blvd. José Rebollo Acosta esq. Héctor Mayagoitia Domínguez, Gómez Palacio, Durango, CP. 35060	Lunes a viernes de 15 a 19 h.	Artes Escénicas	2019	Sí		44										25.5552781	-103.4813119	333	DurangoGómez Palacio				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Durango	Vicente Guerrero	Vicente Guerrero	Semillero Creativo de Literatura y Escritura Creativa en Vicente Guerrero, Durango	Casa de la Cultura. Biblioteca José Luís Calzada Mata	Av. 5 de febrero, # 209, colonia Ejidal, Vicente Guerrero, Durango, C.P 34890	Lunes a viernes de 15 a 19 h.	Creación Literaria	2019	No		16										23.7247189	-103.9799392	334	DurangoVicente Guerrero				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sinaloa	Angostura	Angostura	Semillero Creativo de Pintura en Angostura, Sinaloa	Recinto del Archivo Histórico y las Artes "Joaquín Inzunza Chávez"	Carretera Angostura-Guamuchil Km. 13.3, Col. Centro, Angostura, Sinaloa, C.P. 81600	Lunes a viernes de 16 a 20 h.	Artes Plásticas	2019	No		27										25.3651205	-108.153938	335	SinaloaAngostura				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sinaloa	Culiacán	Culiacancito	Semillero Creativo de Alfarería y Pintura en Culiacán, Sinaloa	DIF Estatal "Lic. Benito Juárez" Centro #3	Pról. Álvaro Obregón #19, colonia 6 de enero, Culiacan, Sinaloa, CP. 80010	Lunes a viernes de 15 a 19 h.	Artes Plásticas	2019	No		78										24.8403906	-107.3951955	336	SinaloaCuliacán				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sinaloa	Culiacán	Culiacancito	Semillero Creativo de Teatro en Culiacán, Sinaloa	Centro Cultural Universitario de Culiacancito	Calle 27 de septiembre entre Ángel Flores y Antonio Rosales, S/N, Culiacancito, Cualiacan, Sinaloa, CP.80300	Lunes a viernes de 14 a 18 h.	Artes Escénicas	2019	No		29										24.8220743	-107.5343823	337	SinaloaCuliacán				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sinaloa	El Fuerte	El Fuerte	Semillero Creativo de Literatura y Escritura Creativa en el Fuerte, Sinaloa	Escuela Secundaria Ignacio Ramírez	Calle Obregon #220, col Centro, El Fuerte,, Sinaloa, CP. 81820	Lunes a viernes de 15 a 19 h.	Creación Literaria	2023	No		12										26.4128965	-108.6168824	338	SinaloaEl Fuerte				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sinaloa	Guasave	El Burrión	Semillero Creativo de Cinematografía en Guasave, Sinaloa	Casa Ejidal del Burrion	Calle Francisco I. Madero, El Burrion, Guasave, Sinaloa, CP 81149	Lunes a viernes de 14 a 18 h.	Artes Audiovisuales	2019	No		13										25.62751	-108.7159088	339	SinaloaGuasave				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sinaloa	Mazatlán	Mazatlán	Semillero Creativo de Fotografía en Mazatlán, Sinaloa	"Sede 1. Museo de Arte de Mazatlán
Sede 2. Escuela Primaria Gral. Ignacio Zaragoza"	"Sede 1. Sixto Osuna y Venustiano Carranza S/N, Centro Histórico, Mazatlán, Sinaloa. C.P. 82000
Sede 2. Coronel Medina,# 13 entre Lucio Blanco y Raúl Madero, Colonia Pueblo Nuevo, Mazatlán, Sinaloa, CP. 82120"	"Sede 1. martes 10 a 13 h, martes y jueves 15 a 18 h.
Sede 2. Lunes, miércoles y viernes  15 a 18 h."	Artes Visuales	2022	No		11										23.198473	-106.4241145	340	SinaloaMazatlán				
